freq,scheme,benefit_type,target_group,unit,country,year,expenditure
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2020,3.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2021,4.25
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),RO,2022,6.34
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2015,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2016,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SE,2022,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2015,102.97
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2016,106.38
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2017,107.53
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2018,110.05
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2019,108.79
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2020,107.9
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2021,101.45
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SI,2022,94.86
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2015,4.51
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2016,3.86
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2017,3.04
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2018,2.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2019,2.65
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2020,2.7
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2021,3.01
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2010 prices),SK,2022,2.72
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2015,63.6
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2016,61.35
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2017,68.05
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2018,71.28
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2019,68.53
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2020,67.74
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2021,67.44
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),AT,2022,65.83
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2015,4.62
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2016,5.83
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2017,6.71
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2018,7.16
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2019,13.99
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2020,32.49
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2021,32.86
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BE,2022,30.76
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2015,30.21
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2016,27.71
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2017,25.32
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2018,25.06
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2019,23.11
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2020,22.35
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2021,20.25
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),BG,2022,20.12
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2015,189.4
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2016,198.84
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2017,195.51
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2018,186.81
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2019,183.18
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2020,208.27
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2021,179.74
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CY,2022,169.14
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2015,11.63
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2016,10.64
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2017,9.03
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2018,8.68
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2019,7.47
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2020,6.69
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2021,7.73
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),CZ,2022,27.23
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2015,39.83
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2016,37.42
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2017,37.93
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2018,34.93
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2019,32.58
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2020,35.85
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2021,38.14
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DE,2022,38.29
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2015,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2016,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2017,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2018,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2019,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2020,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),DK,2021,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2015,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2016,0.0
Annual,TOTAL,Cash benefits,Mothers only,€ per person (2015 prices),EE,2017,0.0
